start,end
2014-02-01 00:00,2014-02-01 16:00
2014-02-02 11:00,2014-02-02 22:00
2014-02-10 15:00,2014-02-10 23:59
2014-02-15 17:00,2014-02-16 03:00
#2014-02-16 17:00,2014-02-17 06:00# above freezing
2014-02-18 00:00,2014-02-18 06:00
2014-02-21 13:00,2014-02-22 07:00
2014-03-03 00:00,2014-03-03 12:00
#2014-03-07 20:00,2014-03-08 09:00# above freezing
2014-03-14 21:00,2014-03-15 09:00
2014-03-16 00:00,2014-03-16 12:00
2014-03-18 00:00,2014-03-18 05:00
2014-03-20 08:00,2014-03-20 23:59
2014-12-12 00:00,2014-12-12 12:00# after 12 might be melting to bucket
2014-12-13 01:00,2014-12-13 15:00
2014-12-14 03:00,2014-12-14 08:00
2014-12-17 00:00,2014-12-17 15:00# strong kdp
2014-12-18 09:00,2014-12-19 07:00
2014-12-20 00:00,2014-12-20 06:00
2014-12-24 00:00,2014-12-24 16:00
2014-12-30 00:00,2014-12-30 15:00# melting layer after 15
2015-01-03 03:00,2015-01-03 23:59# above freezing before 3
2015-01-06 22:00,2015-01-08 01:00
2015-01-08 08:00,2015-01-08 17:00
2015-01-09 17:00,2015-01-10 06:00
2015-01-10 15:00,2015-01-11 18:00
2015-01-12 15:00,2015-01-13 12:00
2015-01-14 00:00,2015-01-14 07:00
2015-01-16 00:00,2015-01-16 07:00# sustained kdp
2015-01-18 11:00,2015-01-18 23:59
2015-01-22 12:00,2015-01-23 04:00
2015-01-25 01:00,2015-01-25 17:00
2015-01-29 09:00,2015-01-29 18:00
2015-02-01 00:00,2015-02-01 15:30
2015-02-02 11:00,2015-02-02 16:00
2015-02-03 01:00,2015-02-03 06:00
2015-02-05 19:00,2015-02-06 04:00
2015-02-14 10:00,2015-02-14 16:30
2015-02-17 18:00,2015-02-17 23:59
2015-02-21 17:00,2015-02-22 06:30
2015-02-23 23:00,2015-02-24 07:00
2015-03-02 20:00,2015-03-02 23:59
2015-03-03 16:00,2015-03-04 06:00
2015-03-06 00:00,2015-03-06 08:00
2015-03-22 05:00,2015-03-22 23:59
2015-04-16 00:00,2015-04-16 06:00
2015-12-01 12:00,2015-12-01 20:00
2015-12-02 20:00,2015-12-03 03:00
2015-12-17 00:00,2015-12-17 23:59
2015-12-26 12:00,2015-12-26 18:00
2016-01-03 03:00,2016-01-04 04:00
2016-01-08 12:00,2016-01-08 18:00
2016-01-11 15:00,2016-01-11 23:59
2016-01-12 06:00,2016-01-14 06:00
2016-01-14 18:00,2016-01-15 04:00
2016-01-16 13:00,2016-01-17 01:30
2016-01-18 20:00,2016-01-19 06:00
2016-01-20 12:00,2016-01-20 22:00
2016-01-23 21:00,2016-01-24 09:00
2016-01-25 23:00,2016-01-26 09:00# strong sustained kdp
2016-01-28 09:00,2016-01-28 23:00# very stong kdp
2016-02-01 16:30,2016-02-02 18:00
2016-02-04 09:00,2016-02-04 23:59
2016-02-06 04:00,2016-02-06 21:00# kdp
2016-02-10 13:00,2016-02-10 16:00
2016-02-12 00:00,2016-02-12 23:59
2016-02-13 00:00,2016-02-13 15:00
2016-02-15 06:00,2016-02-15 12:00
2016-02-20 03:00,2016-02-20 23:59
2016-02-21 00:00,2016-02-21 12:00
2016-02-21 20:00,2016-02-22 12:00
2016-02-22 17:00,2016-02-23 01:30
2016-02-26 00:00,2016-02-26 12:00
2016-02-27 17:00,2016-02-27 21:00
2016-03-13 17:00,2016-03-13 22:30
2016-03-20 15:00,2016-03-20 23:59
2016-03-22 18:00,2016-03-24 04:00
